"Can not create invoice. Order was not found.","請求書を作成できません。注文が見つかりません。"
"$comment","$comment"
"* Required Fields","* 必須項目"
"A refund request for %s sent to Amazon Payments.","%s に対する返金リクエストがAmazonペイメントに送信されました。"
"Already registered?","もうご登録はお済みですか?"
"Amazon Payments uses information from your Amazon account to place your order.","Amazonペイメントはご注文受付のために、お客様のAmazonアカウントの情報を使用します。"
"Amazon Payments","Amazonペイメント"
"Amazon Standalone Checkout in a Modal Window","モーダルウインドウでAmazonスタンドアローンチェックアウトを実行"
"Amazon Standalone Checkout","Amazonスタンドアローンチェックアウト"
"Amazon logo","Amazon露語"
"Authorize Only","オーソリのみ"
"Authorize and Capture","オーソリ取得と売上確定"
"Authorize and capture request for %s sent to Amazon Payments.","%s に対するオーソリ取得と売上確定リクエストがAmazonペイメントに送信されました。"
"Authorize request for %s sent to Amazon Payments.","%s に対するオーソリ取得リクエストがAmazonペイメントに送信されました。"
"Change Payment Method","支払方法変更"
"Change","変更"
"Checkout Method","支払い方法"
"Checkout as Guest","ゲストとして購入"
"Checkout as a Guest or Register","ゲストまたは会員登録して購入"
"Checkout","チェックアウト"
"Click <a href="#" id="amazon-cancel">here</a> to change your payment method.","<a href="#" id="amazon-cancel">ここ</a>をクリックしてお支払い方法を変更してください。"
"Continue","続ける"
"Dark Gray","ダークグレー"
"Easy access to your order history and status","簡単にご注文履歴にアクセスできます"
"Email Address","メールアドレス"
"Europe","ヨーロッパ"
"Fast and easy check out","早く・簡単にご購入いただけます"
"Forgot Your Password?","パスワードをお忘れですか?"
"Forgot your password?","パスワードをお忘れですか?"
"Gold","ゴールド"
"Invalid data.","不正なデータです。"
"Invoice created.","請求書が作成されました。"
"Japan","日本"
"Large","大"
"Light Gray","ライトグレー"
"Loading next step...","次のステップを読込中です..."
"Login with Amazon","Amazonアカウントでログイン"
"Login","ログイン"
"Magento Core OnePage Checkout","Magentoコア ワンページチェックアウト"
"Maximum amount available to refund is %s","返金できる最大金額は %s です"
"Medium","中"
"None","なし"
"OR","または"
"Order Review","ご注文内容確認"
"Order Summary","ご注文概要"
"Password","パスワード"
"Pay with Amazon","Amazonアカウントでお支払い"
"Pay","支払う"
"Payment Declined By Amazon Payments","お支払いがAmazonペイメントで拒否されました"
"Payment","支払い"
"Please agree to all the terms and conditions before placing the order.","ご注文内容の送信前に、すべてのご利用規約に同意ください。"
"Please log in below:","こちらからログインしてください:"
"Please update your payment method below:","こちらからお支払い方法を更新してください:"
"Product Name","商品名"
"Qty","個数"
"Register and save time!","ご登録いただくと時間が節約できます!"
"Register to Create an Account","会員登録してアカウントを作成"
"Register with us for future convenience:","ご登録のメリット:"
"Register","登録"
"Run Diagnostics","自己診断を実行"
"Shipping Address","お届け先住所"
"Shipping Information","お届け情報"
"Shipping Method","お届け方法"
"Small","小"
"Subtotal must exceed minimum order amount","小計はご注文合計をオーバーしてはいけません"
"Subtotal","小計"
"Sync with Amazon","Amazonと同期"
"Sync with Amazon: Authorization state is %s.","Amazonと同期: オーソリステートは %s です。"
"There was an error processing your order. Please contact us or try again later.","ご注文の処理中にエラーが発生しました。お問い合わせいただくか、後ほどやり直してください。"
"Unit Price","商品価格"
"United States","アメリカ合衆国"
"Update Order","ご注文更新"
"Verify Your Account","アカウントの確認"
"X-large","特大"
"API Region","API地域"
"Additional Access Scope","拡張アクセススコープ"
"Advanced","拡張設定"
"Amazon Diagnostics","Amazon自己診断"
"Amazon Payments","Amazonペイメント"
"Amazon Payments / Login and Pay with Amazon","Amazonペイメント / ログイン & ペイ with Amazon"
"Amazon Payments Checkout Overview","Amazonペイメント決済概要"
"Asynchronous Mode","非同期モード"
"Button Color","ボタン色"
"Button Label","ボタンラベル"
"Button Size","ボタンサイズ"
"Button Style","ボタンスタイル"
"Checkout Configuration","チェックアウト設定"
"Checkout Page Type","チェックアウトページタイプ"
"Client Credentials","クライアント証明書"
"Client ID","クライアントID"
"Client Secret","クライアント秘密鍵"
"Debug Mode","デバッグモード"
"Development","開発"
"Display Acceptance Badge","利用可能バッジを表示"
"Display as Payment Option","支払いオプションとして表示"
"Email Store Name","ストアのメール差出人名"
"Enabled","有効"
"Items After","アイテムの後"
"Items Before","アイテムの前"
"Login and Pay with Amazon Diagnostics","ログイン & ペイ with Amazon自己診断"
"Login with Amazon","Amazonログイン"
"MWS Access Key","MWSアクセスキー"
"MWS Secret Key","MWSシークレットキー"
"New Order Status","新規注文ステータス"
"Pay with Amazon","Amazonアカウントで支払い"
"Payment Action","支払いアクション"
"Pop-up","ポップアップ"
"Restrict by IP","IPによる制限"
"Results:","結果:"
"Sandbox Mode","サンドボックスモード"
"Secure Cart Page","カートページでSSLを使用"
"Seller/Merchant ID","セラー/マーチャント ID"
"Settings","設定"
"Shortcut on Product View","商品ページにショートカットを表示"
"Show Pay with Amazon Button on Cart","ショッピングカートにペイ with Amazonボタンを表示"
"Sort Order","表示順"
"<![CDATA[

                     <a href=""http://login.amazon.com/"" target=""_blank"><img src=""http://g-ecx.images-amazon.com/images/G/01/lwa/common/images/lwa_dev_logo._V371482133_.png"" /></a>
                     <br/>
                     <strong>Setup</strong>
                     <ol style=""list-style:inside decimal;"">
                       <li>Access your client credentials by registering a new application through <a href=""https://sellercentral.amazon.com/"" target=""_blank"">Amazon Seller Central</a>.
                       <li>Whitelist your domain under ""Allowed JavaScript Origins.""
                       <li>Under General->Web, enable ""Use Secure URLs in Frontend."" (HTTPS is required.)
                       <li>Amazon Payments (Login and Pay) is configured under Sales->Payment Methods.
                     </ol>


                     <div style=""clear:both;""></div>
             ]]>","<![CDATA[

                                       <a href=""http://login.amazon.com/"" target=""_blank"><img src=""http://g-ecx.images-amazon.com/images/G/01/lwa/common/images/lwa_dev_logo._V371482133_.png"" /></a>
                                       <br/>
                                       <strong>セットアップ</strong>
                                       <ol style=""list-style:inside decimal;"">
                                         <li>クライアント証明書を使用して <a href=""https://sellercentral.amazon.com/"" target=""_blank"">Amazonセラーセントラル</a> で新しいアプリケーションを登録してください。
                                         <li>ご使用になるドメイン名を ""JavaScriptの種類"" に登録してください。
                                         <li>全般->ウェブで ""フロントエンドでセキュアURLを使用する""をオンにしてください。 (HTTPSは必須です。)
                                         <li>Amazonペイメント (ログイン & ペイ) を セールス->支払い方法 で設定してください。
                                       </ol>


                                       <div style=""clear:both;""></div>
                               ]]>"
"Settings","設定"
"Advanced","拡張設定"
"<![CDATA[Optional access scope strings during login.]]>","<![CDATA[Optional access scope strings during login.]]>"
"<![CDATA[

                     <a href=""https://payments.amazon.com/"" target=""_blank""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/Iris3_US/en_US/inca/images/btnPaywAMZN-gld-Desktop-2x.png"" /></a>
                     <br/><br />
                     Login and Pay with Amazon helps you increase conversion, reduce fraud, acquire new customers and build loyalty.
                     <br /><br />

                     <strong>Configuring Amazon Payments</strong>
                     <ol style=""list-style:inside decimal;"">
                       <li>Register or login to retrieve your account keys: &nbsp<button onclick=""javascript:window.open(&#39;https://sellercentral.amazon.com/hz/me/sp/signup?solutionProviderOptions=lwa%3Bmws-acc%3B&marketplaceId=AGWSWK15IEJJ7&solutionProviderToken=AAAAAQAAAAEAAAAQCz2wulRfR9nOADyzVQrq5wAAAHAIIULh6RBNvlw68WY5S9ATlmInlyg2PLVF44yUVowkyjvDZPhtLf3UYn6fshHlKqwR4qptfBeltbxLtLrrIfK6JoxzuWe9FRTnCfSey8a0sFKuL3mwNenjLyMC9BAN1xU0S6pebxA2mz8t8Y1v5Axi&solutionProviderId=A2K7HE1S3M5XJ&#39;, &#39;get_keys&#39,&#39;left=50, top=50, width=950, height=750&#39;); return false;"" class=""scalable"" type=""button""><span>Login to Get Your Keys</span></button>
                       <li>Add your url to ""Allowed JavaScript Origins"" in <a href=""https://sellercentral.amazon.com/"" target=""_blank"">Amazon Seller Central</a>.
                       <li>Under General->Web, enable ""Use Secure URLs in Frontend."" (HTTPS is required.)
                     </ol>

                     <div style=""clear:both;""></div>
             ]]>","<![CDATA[

                                       <a href=""https://payments.amazon.com/"" target=""_blank""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/Iris3_US/en_US/inca/images/btnPaywAMZN-gld-Desktop-2x.png"" /></a>
                                       <br/><br />
                                       ログイン & ペイ with Amazonは成約率を向上させ、不正利用を防ぎ、新しい顧客を獲得してロイヤリティを築きます。
                                       <br /><br />

                                       <strong>Amazonペイメント設定</strong>
                                       <ol style=""list-style:inside decimal;"">
                                         <li>登録またはログインしてアカウントキーを取得してください: &nbsp<button onclick=""javascript:window.open(&#39;https://sellercentral.amazon.com/hz/me/sp/signup?solutionProviderOptions=lwa%3Bmws-acc%3B&marketplaceId=AGWSWK15IEJJ7&solutionProviderToken=AAAAAQAAAAEAAAAQCz2wulRfR9nOADyzVQrq5wAAAHAIIULh6RBNvlw68WY5S9ATlmInlyg2PLVF44yUVowkyjvDZPhtLf3UYn6fshHlKqwR4qptfBeltbxLtLrrIfK6JoxzuWe9FRTnCfSey8a0sFKuL3mwNenjLyMC9BAN1xU0S6pebxA2mz8t8Y1v5Axi&solutionProviderId=A2K7HE1S3M5XJ&#39;, &#39;get_keys&#39,&#39;left=50, top=50, width=950, height=750&#39;); return false;"" class=""scalable"" type=""button""><span>Login to Get Your Keys</span></button>
                                         <li>お使いのURLを <a href=""https://sellercentral.amazon.com/"" target=""_blank"">Amazonセラーセントラル</a> の ""Javascriptの種類"" で設定してください。
                                         <li>全般->ウェブで ""フロントエンドでセキュアURLを使用する""をオンにしてください。 (HTTPSは必須です。)
                                       </ol>

                                       <div style=""clear:both;""></div>
                               ]]>"
"<![CDATA[Only applies when OnePage Checkout is used, otherwise button is always shown.]]>","<![CDATA[ワンページチェックアウトが使用されるときにのみ適用されます、そうでない場合はボタンが常に表示されます。]]>"
